,Brand,Model_Name,Model_Number,Original_Price,Offered_Price,Discount,Rating,Rating_Count,Sim_Size,Sim_Type,Tech_Category,Touch_Screen,Display_Size,PCam_Avl,Primary_Camera,SCam_avl,Secondary_Camera,Int_Memory,RAM,Expandable_Memory,Memory_Card_Type,Memory_Card_Slot,Battery
0,Redmi,Redmi Note 8,MZB8191IN / MZB07R4IN,"12,999","11,499",11% off,4.4,"39,812 Ratings & 2,894 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,16.0 cm (6.3 inch),Yes,48MP + 8MP + 2MP + 2MP,Yes,13MP Front Camera,64 GB,4 GB,512 GB,,Dedicated Slot,4000 mAh
1,Redmi,9i,MZB0818IN,"10,999","8,999",18% off,4.3,"1,14,202 Ratings & 6,649 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,16.59 cm (6.53 inch),Yes,13MP Rear Camera,Yes,5MP Front Camera,128 GB,4 GB,512 GB,microSD,Dedicated Slot,5000 mAh
2,Redmi,9i,MZB080TIN / MZB0815IN,"9,999","8,299",17% off,4.3,"1,14,202 Ratings & 6,649 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,16.59 cm (6.53 inch),Yes,13MP Rear Camera,Yes,5MP Front Camera,64 GB,4 GB,512 GB,microSD,Dedicated Slot,5000 mAh
3,Realme,Narzo 20,RMX2193,"13,999","11,499",17% off,4.3,"1,85,170 Ratings & 15,011 Reviews",Nano,Dual Sim,Smartphones,Yes,16.56 cm (6.52 inch),Yes,48MP + 8MP + 2MP,Yes,8MP Front Camera,128 GB,4 GB,256 GB,microSD,Dedicated Slot,6000 mAh
4,Realme,Narzo 20,RMX2193,"13,999","11,499",17% off,4.3,"1,85,169 Ratings & 15,011 Reviews",Nano,Dual Sim,Smartphones,Yes,16.56 cm (6.52 inch),Yes,48MP + 8MP + 2MP,Yes,8MP Front Camera,128 GB,4 GB,256 GB,microSD,Dedicated Slot,6000 mAh
5,Realme,Narzo 20,RMX2193,"12,999","10,499",19% off,4.3,"1,85,169 Ratings & 15,011 Reviews",Nano,Dual Sim,Smartphones,Yes,16.56 cm (6.52 inch),Yes,48MP + 8MP + 2MP,Yes,8MP Front Camera,64 GB,4 GB,256 GB,microSD,Dedicated Slot,6000 mAh
6,Redmi,9i,MZB0817IN / MZB080UIN,"9,999","8,299",17% off,4.3,"1,14,202 Ratings & 6,649 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,16.59 cm (6.53 inch),Yes,13MP Rear Camera,Yes,5MP Front Camera,64 GB,4 GB,512 GB,microSD,Dedicated Slot,5000 mAh
7,Tecno,Spark Power 2 Air,LC7,"9,999","8,499",15% off,4.3,"7,117 Ratings & 657 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,17.78 cm (7 inch),Yes,13MP + 2MP + 2MP + AI Lens Quad AI Camera,Yes,8MP Front Camera,32 GB,3 GB,256 GB,microSD,Dedicated Slot,6000 mAh
8,Infinix,Smart 4 Plus,X680D,"9,999","7,999",20% off,4.4,"1,01,866 Ratings & 9,061 Reviews",Nano + Nano + Micro SD Card Slot,Dual Sim,Smartphones,Yes,17.32 cm (6.82 inch),Yes,13MP + Depth Sensor,Yes,8MP Front Camera,32 GB,3 GB,256 GB,microSD,Dedicated Slot,6000 mAh
9,Redmi,9i,MZB0813IN / MZB080SIN,"9,999","8,299",17% off,4.3,"1,14,202 Ratings & 6,649 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,16.59 cm (6.53 inch),Yes,13MP Rear Camera,Yes,5MP Front Camera,64 GB,4 GB,512 GB,microSD,Dedicated Slot,5000 mAh
10,POCO,X3,MZB9965IN,"20,999","18,499",11% off,4.3,"48,452 Ratings & 5,729 Reviews",Nano,Dual Sim,Smartphones,Yes,16.94 cm (6.67 inch),Yes,64MP + 13MP + 2MP + 2MP,Yes,20MP Front Camera,128 GB,6 GB,512 GB,microSD,Hybrid Slot,6000 mAh
11,Infinix,Smart 4 Plus,X680D,"9,999","7,999",20% off,4.4,"1,01,866 Ratings & 9,061 Reviews",Nano + Nano + Micro SD Card Slot,Dual Sim,Smartphones,Yes,17.32 cm (6.82 inch),Yes,13MP + Depth Sensor,Yes,8MP Front Camera,32 GB,3 GB,256 GB,microSD,Dedicated Slot,6000 mAh
12,Infinix,Smart 4 Plus,X680D,"9,999","7,999",20% off,4.4,"1,01,866 Ratings & 9,061 Reviews",Nano + Nano + Micro SD Card Slot,Dual Sim,Smartphones,Yes,17.32 cm (6.82 inch),Yes,13MP + Depth Sensor,Yes,8MP Front Camera,32 GB,3 GB,256 GB,microSD,Dedicated Slot,6000 mAh
13,Infinix,Smart 4 Plus,X680D,"9,999","7,999",20% off,4.4,"1,01,866 Ratings & 9,061 Reviews",Nano + Nano + Micro SD Card Slot,Dual Sim,Smartphones,Yes,17.32 cm (6.82 inch),Yes,13MP + Depth Sensor,Yes,8MP Front Camera,32 GB,3 GB,256 GB,microSD,Dedicated Slot,6000 mAh
14,Moto,Moto G 5G,PALM0007IN,"24,999","20,999",16% off,4.5,209 Ratings & 32 Reviews,Nano + Nano,Dual Sim,Smartphones,Yes,16.94 cm (6.67 inch),Yes,48MP + 8MP + 2MP,Yes,16MP Front Camera,128 GB,6 GB,1 TB,microSD,Hybrid Slot,5000 mAh
15,Infinix,Smart 4,X680,"8,999","6,999",22% off,4.4,"6,294 Ratings & 443 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,17.32 cm (6.82 inch),Yes,13MP + Depth Sensor,Yes,8MP Front Camera,32 GB,2 GB,,microSD,Dedicated Slot,6000 mAh
16,Infinix,Smart 4,X680,"8,999","6,999",22% off,4.4,"6,294 Ratings & 443 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,17.32 cm (6.82 inch),Yes,13MP + Depth Sensor,Yes,8MP Front Camera,32 GB,2 GB,,microSD,Dedicated Slot,6000 mAh
17,Realme,Narzo 10,RMX2040,"12,999","11,999",7% off,4.5,"1,63,069 Ratings & 12,219 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,16.51 cm (6.5 inch),Yes,48MP + 8MP + 2MP + 2MP,Yes,16MP Front Camera,128 GB,4 GB,256 GB,microSD,Dedicated Slot,5000 mAh
18,Redmi,Redmi 8A Dual,MZB9027IN / MZB07RFIN,"8,499","6,999",17% off,4.3,"25,655 Ratings & 1,975 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,15.8 cm (6.22 inch),Yes,13MP + 2MP,Yes,8MP Front Camera,32 GB,2 GB,512 GB,,Dedicated Slot,5000 mAh
19,Infinix,Note 7,X690,"14,999","9,999",33% off,4.3,"8,855 Ratings & 958 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,17.65 cm (6.95 inch),Yes,48MP + 2MP + 2MP + AI Lens Camera,Yes,16MP Front Camera,64 GB,4 GB,256 GB,microSD,Dedicated Slot,5000 mAh
20,Realme,C11,RMX2185,"8,999","7,499",16% off,4.4,"3,35,783 Ratings & 22,759 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,16.51 cm (6.5 inch),Yes,13MP + 2MP,Yes,5MP Front Camera,32 GB,2 GB,256 GB,microSD,Dedicated Slot,5000 mAh
21,Realme,C11,RMX2185,"8,999","7,499",16% off,4.4,"3,35,783 Ratings & 22,759 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,16.51 cm (6.5 inch),Yes,13MP + 2MP,Yes,5MP Front Camera,32 GB,2 GB,256 GB,microSD,Dedicated Slot,5000 mAh
22,POCO,C3,MZB07RIIN,"9,999","7,999",20% off,4.3,"70,857 Ratings & 5,549 Reviews",Nano,Dual Sim,Smartphones,Yes,16.59 cm (6.53 inch),Yes,13MP + 2MP + 2MP,Yes,5MP Front Camera,32 GB,3 GB,512 GB,microSD,Dedicated Slot,5000 mAh
23,Realme,C12,RMX2189,"10,999","8,999",18% off,4.4,"1,80,567 Ratings & 11,393 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,16.56 cm (6.52 inch),Yes,13MP + 2MP + 2MP,Yes,5MP Front Camera,32 GB,3 GB,256 GB,microSD,Dedicated Slot,6000 mAh
24,Infinix,Hot 10,X682B,"11,999","9,499",20% off,4.4,"19,232 Ratings & 1,739 Reviews",Nano,Dual Sim,Smartphones,Yes,17.22 cm (6.78 inch),Yes,16MP + 2MP + 2MP + Low Light Sensor,Yes,8MP Front Camera,64 GB,4 GB,256 GB,microSD,Dedicated Slot,5200 mAh
25,Infinix,Hot 10,X682B,"11,999","9,499",20% off,4.4,"19,232 Ratings & 1,739 Reviews",Nano,Dual Sim,Smartphones,Yes,17.22 cm (6.78 inch),Yes,16MP + 2MP + 2MP + Low Light Sensor,Yes,8MP Front Camera,64 GB,4 GB,256 GB,microSD,Dedicated Slot,5200 mAh
26,Infinix,Hot 10,X682B,"11,999","9,499",20% off,4.4,"19,232 Ratings & 1,739 Reviews",Nano,Dual Sim,Smartphones,Yes,17.22 cm (6.78 inch),Yes,16MP + 2MP + 2MP + Low Light Sensor,Yes,8MP Front Camera,64 GB,4 GB,256 GB,microSD,Dedicated Slot,5200 mAh
27,Infinix,Hot 10,X682C,"13,999","10,999",21% off,4.4,"32,979 Ratings & 3,796 Reviews",Nano,Dual Sim,Smartphones,Yes,17.22 cm (6.78 inch),Yes,16MP + 2MP + 2MP + Low Light Sensor,Yes,8MP Front Camera,128 GB,6 GB,256 GB,microSD,Dedicated Slot,5200 mAh
28,Infinix,Hot 10,X682C,"13,999","10,999",21% off,4.4,"32,979 Ratings & 3,796 Reviews",Nano,Dual Sim,Smartphones,Yes,17.22 cm (6.78 inch),Yes,16MP + 2MP + 2MP + Low Light Sensor,Yes,8MP Front Camera,128 GB,6 GB,256 GB,microSD,Dedicated Slot,5200 mAh
29,Realme,Narzo 10,RMX2040,"12,999","11,999",7% off,4.5,"1,63,068 Ratings & 12,219 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,16.51 cm (6.5 inch),Yes,48MP + 8MP + 2MP + 2MP,Yes,16MP Front Camera,128 GB,4 GB,256 GB,microSD,Dedicated Slot,5000 mAh
30,Redmi,9i,MZB0814IN,"10,999","8,999",18% off,4.3,"1,14,202 Ratings & 6,649 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,16.59 cm (6.53 inch),Yes,13MP Rear Camera,Yes,5MP Front Camera,128 GB,4 GB,512 GB,microSD,Dedicated Slot,5000 mAh
31,Gionee,Max,Gionee Max,"7,990","5,499",31% off,4.1,"26,656 Ratings & 2,624 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,15.49 cm (6.1 inch),Yes,13MP + Digital Camera,Yes,5MP Front Camera,32 GB,2 GB,256 GB,microSD,Dedicated Slot,5000 mAh
32,Realme,6,RBS0601IN,"14,999","12,999",13% off,4.4,"74,987 Ratings & 8,045 Reviews",Nano SIM,Dual Sim,Smartphones,Yes,16.51 cm (6.5 inch),Yes,64MP + 8MP + 2MP + 2MP,Yes,16MP Front Camera,64 GB,4 GB,256 GB,microSD,Dedicated Slot,4300 mAh
33,Realme,6,RBS0602IN,"14,999","12,999",13% off,4.4,"74,987 Ratings & 8,045 Reviews",Nano SIM,Dual Sim,Smartphones,Yes,16.51 cm (6.5 inch),Yes,64MP + 8MP + 2MP + 2MP,Yes,16MP Front Camera,64 GB,4 GB,256 GB,microSD,Dedicated Slot,4300 mAh
